bonus_value_id	effect	ritual
#effect_bonus_value_ritual_junctions_tables;0;db/effect_bonus_value_ritual_junctions_tables/data__		
disable	wh2_dlc09_disable_ritual_army_capacity	wh2_dlc09_ritual_crafting_tmb_army_capacity
disable	wh2_dlc09_disable_ritual_carrion	wh2_dlc09_ritual_crafting_tmb_carrion
disable	wh2_dlc09_disable_ritual_necropolis_knights	wh2_dlc09_ritual_crafting_tmb_necropolis_knights
disable	wh2_dlc09_disable_ritual_nehekhara_horsemen	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen
disable	wh2_dlc09_disable_ritual_nehekhara_warriors	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_geheb
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_khsar
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_ptra
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_tahoth
percentage_cost_mod	wh2_dlc09_ritual_crafted_army_cost_increase	wh2_dlc09_ritual_crafting_tmb_army_capacity
percentage_cost_mod	wh2_dlc10_faction_trait_ritual_cost_alarielle	wh2_main_ritual_hef_isha
percentage_cost_mod	wh2_dlc11_effect_cst_rite_cost_mod	wh2_dlc11_ritual_cst_bountiful_treasure
percentage_cost_mod	wh2_dlc11_effect_cst_rite_cost_mod	wh2_dlc11_ritual_cst_eternal_service
percentage_cost_mod	wh2_dlc11_effect_cst_rite_cost_mod	wh2_dlc11_ritual_cst_queens_cannon
percentage_cost_mod	wh2_dlc11_effect_cst_rite_cost_mod	wh2_dlc11_ritual_cst_sea_mist
percentage_cost_mod	wh2_dlc12_faction_trait_ritual_cost_tehenhauin	wh2_main_ritual_lzd_sotek
disable	wh2_dlc16_ritual_wef_forge_dragon_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_1
disable	wh2_dlc16_ritual_wef_forge_dragon_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_2
disable	wh2_dlc16_ritual_wef_forge_dragon_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_3
enable	wh2_dlc16_ritual_wef_forge_dragon_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_1
enable	wh2_dlc16_ritual_wef_forge_dragon_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_2
enable	wh2_dlc16_ritual_wef_forge_dragon_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_3
disable	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_1
disable	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_2
disable	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_3
enable	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_1
enable	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_2
enable	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_3
disable	wh2_dlc16_ritual_wef_forge_dragon_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_mask_level_1
disable	wh2_dlc16_ritual_wef_forge_dragon_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_mask_level_2
disable	wh2_dlc16_ritual_wef_forge_dragon_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_mask_level_3
enable	wh2_dlc16_ritual_wef_forge_dragon_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_mask_level_1
enable	wh2_dlc16_ritual_wef_forge_dragon_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_mask_level_2
enable	wh2_dlc16_ritual_wef_forge_dragon_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_mask_level_3
disable	wh2_dlc16_ritual_wef_forge_dragon_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_spear_level_1
disable	wh2_dlc16_ritual_wef_forge_dragon_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_spear_level_2
disable	wh2_dlc16_ritual_wef_forge_dragon_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_dragon_spear_level_3
enable	wh2_dlc16_ritual_wef_forge_dragon_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_spear_level_1
enable	wh2_dlc16_ritual_wef_forge_dragon_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_spear_level_2
enable	wh2_dlc16_ritual_wef_forge_dragon_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_dragon_spear_level_3
disable	wh2_dlc16_ritual_wef_forge_dreaming_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_1
disable	wh2_dlc16_ritual_wef_forge_dreaming_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_2
disable	wh2_dlc16_ritual_wef_forge_dreaming_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_3
enable	wh2_dlc16_ritual_wef_forge_dreaming_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_1
enable	wh2_dlc16_ritual_wef_forge_dreaming_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_2
enable	wh2_dlc16_ritual_wef_forge_dreaming_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_3
disable	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_1
disable	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_2
disable	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_3
enable	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_1
enable	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_2
enable	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_3
disable	wh2_dlc16_ritual_wef_forge_dreaming_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_1
disable	wh2_dlc16_ritual_wef_forge_dreaming_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_2
disable	wh2_dlc16_ritual_wef_forge_dreaming_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_3
enable	wh2_dlc16_ritual_wef_forge_dreaming_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_1
enable	wh2_dlc16_ritual_wef_forge_dreaming_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_2
enable	wh2_dlc16_ritual_wef_forge_dreaming_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_3
disable	wh2_dlc16_ritual_wef_forge_dreaming_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_1
disable	wh2_dlc16_ritual_wef_forge_dreaming_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_2
disable	wh2_dlc16_ritual_wef_forge_dreaming_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_3
enable	wh2_dlc16_ritual_wef_forge_dreaming_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_1
enable	wh2_dlc16_ritual_wef_forge_dreaming_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_2
enable	wh2_dlc16_ritual_wef_forge_dreaming_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_3
disable	wh2_dlc16_ritual_wef_forge_eagle_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_1
disable	wh2_dlc16_ritual_wef_forge_eagle_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_2
disable	wh2_dlc16_ritual_wef_forge_eagle_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_3
enable	wh2_dlc16_ritual_wef_forge_eagle_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_1
enable	wh2_dlc16_ritual_wef_forge_eagle_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_2
enable	wh2_dlc16_ritual_wef_forge_eagle_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_3
disable	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_1
disable	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_2
disable	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_3
enable	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_1
enable	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_2
enable	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_3
disable	wh2_dlc16_ritual_wef_forge_eagle_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_mask_level_1
disable	wh2_dlc16_ritual_wef_forge_eagle_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_mask_level_2
disable	wh2_dlc16_ritual_wef_forge_eagle_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_mask_level_3
enable	wh2_dlc16_ritual_wef_forge_eagle_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_mask_level_1
enable	wh2_dlc16_ritual_wef_forge_eagle_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_mask_level_2
enable	wh2_dlc16_ritual_wef_forge_eagle_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_mask_level_3
disable	wh2_dlc16_ritual_wef_forge_eagle_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_bow_level_1
disable	wh2_dlc16_ritual_wef_forge_eagle_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_bow_level_2
disable	wh2_dlc16_ritual_wef_forge_eagle_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_eagle_bow_level_3
enable	wh2_dlc16_ritual_wef_forge_eagle_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_bow_level_1
enable	wh2_dlc16_ritual_wef_forge_eagle_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_bow_level_2
enable	wh2_dlc16_ritual_wef_forge_eagle_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_eagle_bow_level_3
disable	wh2_dlc16_ritual_wef_forge_twilight_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_helm_level_1
disable	wh2_dlc16_ritual_wef_forge_twilight_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_helm_level_2
disable	wh2_dlc16_ritual_wef_forge_twilight_armour_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_helm_level_3
enable	wh2_dlc16_ritual_wef_forge_twilight_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_helm_level_1
enable	wh2_dlc16_ritual_wef_forge_twilight_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_helm_level_2
enable	wh2_dlc16_ritual_wef_forge_twilight_armour_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_helm_level_3
disable	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_standard_level_1
disable	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_standard_level_2
disable	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_standard_level_3
enable	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_standard_level_1
enable	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_standard_level_2
enable	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_standard_level_3
disable	wh2_dlc16_ritual_wef_forge_twilight_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_horn_level_1
disable	wh2_dlc16_ritual_wef_forge_twilight_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_horn_level_2
disable	wh2_dlc16_ritual_wef_forge_twilight_talisman_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_horn_level_3
enable	wh2_dlc16_ritual_wef_forge_twilight_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_horn_level_1
enable	wh2_dlc16_ritual_wef_forge_twilight_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_horn_level_2
enable	wh2_dlc16_ritual_wef_forge_twilight_talisman_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_horn_level_3
disable	wh2_dlc16_ritual_wef_forge_twilight_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_spear_level_1
disable	wh2_dlc16_ritual_wef_forge_twilight_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_spear_level_2
disable	wh2_dlc16_ritual_wef_forge_twilight_weapon_chain_disabled	wh2_dlc16_ritual_wef_forge_twilight_spear_level_3
enable	wh2_dlc16_ritual_wef_forge_twilight_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_spear_level_1
enable	wh2_dlc16_ritual_wef_forge_twilight_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_spear_level_2
enable	wh2_dlc16_ritual_wef_forge_twilight_weapon_chain_enabled	wh2_dlc16_ritual_wef_forge_twilight_spear_level_3
percentage_cost_mod	wh2_dlc17_bst_ritual_hero_cap_bray_shaman_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_bray_shaman
percentage_cost_mod	wh2_dlc17_bst_ritual_hero_cap_gorebull_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_gorebull
percentage_cost_mod	wh2_dlc17_bst_ritual_hero_cap_wargor_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_wargor
percentage_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_bray_shaman_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_bray_shaman
percentage_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_gorebull_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_gorebull
percentage_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_wargor_cost_mod	wh2_dlc17_bst_ritual_hero_capacity_wargor
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_bestigor_herd_cost_mod	wh2_dlc17_bst_ritual_unit_cap_bestigor_herd
enable	wh2_dlc17_bst_ritual_unit_cap_bestigor_herd_unlock	wh2_dlc17_bst_ritual_unit_cap_bestigor_herd
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_centigors_all_cost_mod	wh2_dlc17_bst_ritual_unit_cap_centigors_all
enable	wh2_dlc17_bst_ritual_unit_cap_centigors_unlock	wh2_dlc17_bst_ritual_unit_cap_centigors_all
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_giants_cost_mod	wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_giants
enable	wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_unlock	wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_giants
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_razorgor_herd_cost_mod	wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_razorgor_herd
enable	wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_unlock	wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_razorgor_herd
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_cygor_cost_mod	wh2_dlc17_bst_ritual_unit_cap_cygor
enable	wh2_dlc17_bst_ritual_unit_cap_cygor_unlock	wh2_dlc17_bst_ritual_unit_cap_cygor
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_ghorgon_cost_mod	wh2_dlc17_bst_ritual_unit_cap_ghorgon
enable	wh2_dlc17_bst_ritual_unit_cap_ghorgon_unlock	wh2_dlc17_bst_ritual_unit_cap_ghorgon
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_giant_chaos_spawn_cost_mod	wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_giants
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_gor_herd_all_cost_mod	wh2_dlc17_bst_ritual_unit_cap_gor_herd_all
enable	wh2_dlc17_bst_ritual_unit_cap_gor_herd_unlock	wh2_dlc17_bst_ritual_unit_cap_gor_herd_all
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_gor_herds_all_cost_mod	wh2_dlc17_bst_ritual_unit_cap_gor_herd_all
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_harpies_feral_manticore_cost_mod	wh2_dlc17_bst_ritual_unit_cap_harpies_feral_manticore
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_harpies_manticore_cost_mod	wh2_dlc17_bst_ritual_unit_cap_harpies_feral_manticore
enable	wh2_dlc17_bst_ritual_unit_cap_harpies_unlock	wh2_dlc17_bst_ritual_unit_cap_harpies_feral_manticore
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_jabberslythe_cost_mod	wh2_dlc17_bst_ritual_unit_cap_jabberslythe
enable	wh2_dlc17_bst_ritual_unit_cap_jabberslythe_unlock	wh2_dlc17_bst_ritual_unit_cap_jabberslythe
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_all_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_all_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_great_weapons
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_all_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_shield
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_great_weapons_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_great_weapons
enable	wh2_dlc17_bst_ritual_unit_cap_minotaurs_great_weapons_unlock	wh2_dlc17_bst_ritual_unit_cap_minotaurs_great_weapons
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_shield_cost_mod	wh2_dlc17_bst_ritual_unit_cap_minotaurs_shield
enable	wh2_dlc17_bst_ritual_unit_cap_minotaurs_shield_unlock	wh2_dlc17_bst_ritual_unit_cap_minotaurs_shield
enable	wh2_dlc17_bst_ritual_unit_cap_minotaurs_unlock	wh2_dlc17_bst_ritual_unit_cap_minotaurs
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_razorgor_herd_chaos_warhounds_cost_mod	wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_razorgor_herd
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_razorgor_tuskgor_chariot_cost_mod	wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_razorgor_chariot
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_razorgor_chariot_cost_mod	wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_razorgor_chariot
enable	wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_unlock	wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_razorgor_chariot
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_ungor_herd_spearmen_herd_cost_mod	wh2_dlc17_bst_ritual_unit_cap_ungor_herd_spearmen_herd
enable	wh2_dlc17_bst_ritual_unit_cap_ungor_herd_unlock	wh2_dlc17_bst_ritual_unit_cap_ungor_herd_spearmen_herd
percentage_cost_mod	wh2_dlc17_bst_ritual_unit_cap_ungor_spearmen_herd_shields_cost_mod	wh2_dlc17_bst_ritual_unit_cap_ungor_herd_spearmen_herd
percentage_cost_mod	wh2_dlc17_effect_dread_cost_non_unit_caps	wh2_dlc17_bst_ritual_hero_capacity_bray_shaman
percentage_cost_mod	wh2_dlc17_effect_dread_cost_non_unit_caps	wh2_dlc17_bst_ritual_hero_capacity_gorebull
percentage_cost_mod	wh2_dlc17_effect_dread_cost_non_unit_caps	wh2_dlc17_bst_ritual_hero_capacity_wargor
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_bestigor_herd
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_centigors_all
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_giants
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_razorgor_herd
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_cygor
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_ghorgon
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_gor_herd_all
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_harpies_feral_manticore
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_jabberslythe
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_minotaurs
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_minotaurs_great_weapons
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_minotaurs_shield
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_razorgor_chariot
percentage_cost_mod	wh2_dlc17_effect_dread_cost_unit_caps	wh2_dlc17_bst_ritual_unit_cap_ungor_herd_spearmen_herd
percentage_cost_mod	wh2_dlc17_pooled_resource_oathgold_runecrafting_mod	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking
percentage_cost_mod	wh2_dlc17_pooled_resource_oathgold_runecrafting_mod	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_master_rune_of_disguise
percentage_cost_mod	wh2_dlc17_pooled_resource_oathgold_runecrafting_mod	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_master_rune_of_immolation
percentage_cost_mod	wh2_dlc17_pooled_resource_oathgold_runecrafting_mod	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_rune_of_burning
percentage_cost_mod	wh2_dlc17_pooled_resource_oathgold_runecrafting_mod	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_rune_of_penetration
